,HTVar,FTVar,HTmean,FTmean,FTbin1,FTbin2,FTbin3,FTbin4,FTbin5,FTbin6,FTbin7,FTbin8,FTbin9,FTbin10,HTbin1,HTbin2,HTbin3,HTbin4,HTbin5,HTbin6
0,0.07125045486169586,0.004624052048786856,0.38720002556840444,0.15715396181596597,0.01270772238514174,0.07624633431085044,0.1436950146627566,0.1906158357771261,0.23655913978494625,0.2228739002932552,0.11241446725317693,0.004887585532746823,0.0,0.0,0.2346041055718475,0.7409579667644184,0.024437927663734114,0.0,0.0,0.0
1,0.03156317709606493,0.0005100901648390098,0.24959153083778746,0.023393510088358667,0.3849379347066457,0.4850743785150921,0.12201737162634364,0.007970315151918534,0.0,0.0,0.0,0.0,0.0,0.0,0.5572564810809012,0.4427435189190988,0.0,0.0,0.0,0.0
2,0.17808479998349397,0.0033967946303491794,0.6557152701023123,0.12453003376082089,0.0,0.0920245398773006,0.31901840490797545,0.2699386503067485,0.19631901840490804,0.0920245398773006,0.018404907975460124,0.012269938650306749,0.0,0.0,0.06748466257668713,0.6196319018404908,0.3006134969325153,0.012269938650306749,0.0,0.0
3,0.054008559475662514,0.003695107838935732,0.39023566150453165,0.09438583028413233,0.05114029025570145,0.2681409813407049,0.3063810181985718,0.1817553559087768,0.1050449205252246,0.06588343699608386,0.020962911771481227,0.000691085003455425,0.0,0.0,0.1483529140750979,0.8456576825616218,0.00598940336328035,0.0,0.0,0.0
4,0.01058186197140451,0.001305437755488198,0.09864931091534801,0.03634019531662888,0.2906482465462274,0.4771519659936238,0.1594048884165781,0.05100956429330498,0.019659936238044632,0.0021253985122210413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.1627769796630071,0.0014865348604835764,0.33742072185644595,0.02893617334922386,0.4054931942725826,0.3673325083966767,0.1624977903482411,0.054954039243415236,0.00972246773908432,0.0,0.0,0.0,0.0,0.0,0.34141329326498143,0.6051794237228213,0.053407283012197285,0.0,0.0,0.0
6,0.11158556838476115,0.0014340366737033235,0.3967326749751448,0.031949739418649134,0.3789703210175651,0.3584009691096305,0.1988128407026045,0.05894609327680194,0.0048697758933979405,0.0,0.0,0.0,0.0,0.0,0.22161114476075106,0.7364021804966687,0.041986674742580256,0.0,0.0,0.0
7,0.0,0.0004164104023037842,0.4923893561793496,0.031544672924708125,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0.02585121007314156,0.0015357622267386875,0.2871559618303429,0.054491426318260164,0.1866024274993051,0.3446016598059589,0.32963163955473784,0.1323741578536353,0.006790115286362855,0.0,0.0,0.0,0.0,0.0,0.4394382602480444,0.5605617397519557,0.0,0.0,0.0,0.0
9,0.17331759475931358,0.006381805232650039,0.6489563624181254,0.09185511297635734,0.18907458219007234,0.2120229483661761,0.1828386131204789,0.16313295086056373,0.12521825891743574,0.08904963831379396,0.030930406585183336,0.007732601646295834,0.0,0.0,0.07408331254676978,0.6143676727363432,0.30456472935894235,0.006984285357944624,0.0,0.0
10,0.03428732001188178,0.0009102680916058385,0.34513231381450765,0.10212151887726095,0.0,0.07692307692307693,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.6923076923076923,0.0,0.0,0.0,0.0
